iso_week,gmail mentions
2023-13,8
2023-14,16
2023-15,22
2023-16,17
2023-17,23
2023-18,14
2023-19,23
2023-20,17
2023-21,17
2023-22,22
2023-23,28
2023-24,34
2023-25,29
2023-26,22
2023-27,15
2023-28,22
2023-29,21
2023-30,25
2023-31,22
2023-32,21
2023-33,23
2023-34,19
2023-35,41
2023-36,25
2023-37,39
2023-38,31
2023-39,37
2023-40,40
2023-41,42
2023-42,31
2023-43,31
2023-44,43
2023-45,31
2023-46,27
2023-47,36
2023-48,47
2023-49,31
2023-50,33
2023-51,25
2023-52,25
2024-01,31
2024-02,26
2024-03,33
2024-04,36
2024-05,24
2024-06,34
2024-07,25
2024-08,34
2024-09,29
2024-10,32
2024-11,31
2024-12,31
2024-13,25
2024-14,22
2024-15,32
2024-16,33
2024-17,23
2024-18,23
2024-19,18
2024-20,19
2024-21,31
2024-22,20
2024-23,28
2024-24,22
2024-25,26
2024-26,20
2024-27,29
2024-28,34
2024-29,35
2024-30,42
2024-31,35
2024-32,49
2024-33,38
2024-34,43
2024-35,33
2024-36,28
2024-37,32
2024-38,51
2024-39,56
2024-40,37
2024-41,39
2024-42,37
2024-43,49
2024-44,44
