iso_week,ms email mentions
2023-13,4
2023-14,22
2023-15,25
2023-16,24
2023-17,18
2023-18,16
2023-19,19
2023-20,23
2023-21,18
2023-22,24
2023-23,35
2023-24,27
2023-25,17
2023-26,17
2023-27,23
2023-28,22
2023-29,39
2023-30,28
2023-31,35
2023-32,35
2023-33,14
2023-34,13
2023-35,22
2023-36,21
2023-37,49
2023-38,35
2023-39,28
2023-40,33
2023-41,54
2023-42,40
2023-43,35
2023-44,26
2023-45,24
2023-46,26
2023-47,35
2023-48,31
2023-49,29
2023-50,29
2023-51,18
2023-52,16
2024-01,18
2024-02,23
2024-03,26
2024-04,44
2024-05,32
2024-06,25
2024-07,21
2024-08,30
2024-09,25
2024-10,20
2024-11,25
2024-12,23
2024-13,18
2024-14,22
2024-15,26
2024-16,21
2024-17,17
2024-18,16
2024-19,18
2024-20,23
2024-21,23
2024-22,25
2024-23,18
2024-24,27
2024-25,21
2024-26,31
2024-27,45
2024-28,35
2024-29,45
2024-30,57
2024-31,52
2024-32,41
2024-33,38
2024-34,38
2024-35,33
2024-36,23
2024-37,54
2024-38,50
2024-39,64
2024-40,80
2024-41,47
2024-42,38
2024-43,47
2024-44,20
